name,value,year,lastvalue
Asquith,0,49,0
Asquith,0,50,0
Asquith,0,51,0
Asquith,0,52,0
Asquith,0,53,0
Asquith,0,54,0
Asquith,0,55,0
Asquith,0,56,0
Asquith,0,57,0
Asquith,0,58,0
Asquith,0,59,0
Asquith,0,60,0
Asquith,0,61,0
Asquith,0,62,0
Asquith,0,63,0
Asquith,0,64,0
Asquith,0,65,0
Asquith,0,66,0
Asquith,0,67,0
Asquith,0,68,0
Asquith,0,69,0
Asquith,0,70,0
Asquith,0,71,0
Asquith,1,72,0
Asquith,1,73,1
Asquith,1,74,1
Asquith,1,75,1
Asquith,4,76,1
Asquith,4,77,4
Asquith,4,78,4
Asquith,4,79,4
Asquith,4,80,4
Asquith,4,81,4
Asquith,4,82,4
Asquith,4,83,4
Asquith,4,84,4
Asquith,4,85,4
Asquith,4,86,4
Asquith,4,87,4
Asquith,4,88,4
Asquith,4,89,4
Asquith,4,90,4
Asquith,5,91,4
Asquith,5,92,5
Asquith,6,93,5
Asquith,6,94,6
Asquith,6,95,6
Asquith,6,96,6
Asquith,7,97,6
Asquith,7,98,7
Asquith,8,99,7
Asquith,8,100,8
Asquith,8,101,8
Asquith,8,102,8
Asquith,8,103,8
Asquith,8,104,8
Asquith,8,105,8
Asquith,8,106,8
Asquith,8,107,8
Asquith,8,108,8
Asquith,8,109,8
Asquith,8,110,8
Asquith,8,111,8
Asquith,8,112,8
Asquith,8,113,8
Asquith,8,114,8
Asquith,8,115,8
Asquith,8,116,8
Asquith,8,117,8
Asquith,8,118,8
Asquith,8,119,8
Asquith,8,120,8
Asquith,8,121,8
Asquith,8,122,8
Asquith,8,123,8
Asquith,8,124,8
Asquith,8,125,8
Asquith,8,126,8
Asquith,8,127,8
Asquith,8,128,8
Asquith,8,129,8
Asquith,8,130,8
Asquith,8,131,8
Asquith,8,132,8
Asquith,8,133,8
Asquith,8,134,8
Asquith,8,135,8
Asquith,8,136,8
Asquith,8,137,8
Asquith,8,138,8
Asquith,8,139,8
Asquith,8,140,8
Lloyd George,0,1,0
Lloyd George,0,2,0
Lloyd George,0,3,0
Lloyd George,0,4,0
Lloyd George,0,5,0
Lloyd George,0,6,0
Lloyd George,0,7,0
Lloyd George,1,8,0
Lloyd George,2,9,1
Lloyd George,2,10,2
Lloyd George,2,11,2
Lloyd George,3,12,2
Lloyd George,3,13,3
Lloyd George,4,14,3
Lloyd George,4,15,4
Lloyd George,4,16,4
Lloyd George,5,17,4
Lloyd George,5,18,5
Lloyd George,5,19,5
Lloyd George,5,20,5
Lloyd George,5,21,5
Lloyd George,5,22,5
Lloyd George,5,23,5
Lloyd George,6,24,5
Lloyd George,6,25,6
Lloyd George,6,26,6
Lloyd George,6,27,6
Lloyd George,6,28,6
Lloyd George,6,29,6
Lloyd George,6,30,6
Lloyd George,6,31,6
Lloyd George,6,32,6
Lloyd George,6,33,6
Lloyd George,6,34,6
Lloyd George,6,35,6
Lloyd George,7,36,6
Lloyd George,7,37,7
Lloyd George,7,38,7
Lloyd George,7,39,7
Lloyd George,7,40,7
Lloyd George,7,41,7
Lloyd George,7,42,7
Lloyd George,7,43,7
Lloyd George,7,44,7
Lloyd George,7,45,7
Lloyd George,7,46,7
Lloyd George,7,47,7
Lloyd George,7,48,7
Lloyd George,7,49,7
Lloyd George,7,50,7
Lloyd George,7,51,7
Lloyd George,7,52,7
Lloyd George,7,53,7
Lloyd George,7,54,7
Lloyd George,7,55,7
Lloyd George,8,56,7
Lloyd George,8,57,8
Lloyd George,8,58,8
Lloyd George,8,59,8
Lloyd George,8,60,8
Lloyd George,8,61,8
Lloyd George,8,62,8
Lloyd George,8,63,8
Lloyd George,9,64,8
Lloyd George,9,65,9
Lloyd George,9,66,9
Lloyd George,9,67,9
Lloyd George,9,68,9
Lloyd George,9,69,9
Lloyd George,9,70,9
Lloyd George,9,71,9
Lloyd George,9,72,9
Lloyd George,9,73,9
Lloyd George,9,74,9
Lloyd George,9,75,9
Lloyd George,9,76,9
Lloyd George,9,77,9
Lloyd George,9,78,9
Lloyd George,9,79,9
Lloyd George,9,80,9
Lloyd George,9,81,9
Lloyd George,9,82,9
Lloyd George,9,83,9
Lloyd George,9,84,9
Lloyd George,9,85,9
Lloyd George,9,86,9
Lloyd George,9,87,9
Lloyd George,9,88,9
Lloyd George,9,89,9
Lloyd George,9,90,9
Lloyd George,9,91,9
Lloyd George,9,92,9
Lloyd George,9,93,9
Lloyd George,9,94,9
Lloyd George,9,95,9
Lloyd George,9,96,9
Lloyd George,9,97,9
Lloyd George,9,98,9
Lloyd George,9,99,9
Lloyd George,9,100,9
Lloyd George,9,101,9
Lloyd George,9,102,9
Lloyd George,9,103,9
Lloyd George,9,104,9
Lloyd George,9,105,9
Lloyd George,9,106,9
Lloyd George,9,107,9
Lloyd George,9,108,9
Lloyd George,9,109,9
Lloyd George,9,110,9
Lloyd George,9,111,9
Lloyd George,9,112,9
Lloyd George,9,113,9
Lloyd George,9,114,9
Lloyd George,9,115,9
Lloyd George,9,116,9
Lloyd George,9,117,9
Lloyd George,9,118,9
Lloyd George,9,119,9
Lloyd George,9,120,9
Lloyd George,9,121,9
Lloyd George,9,122,9
Lloyd George,9,123,9
Lloyd George,9,124,9
Lloyd George,9,125,9
Lloyd George,9,126,9
Lloyd George,9,127,9
Lloyd George,9,128,9
Lloyd George,9,129,9
Lloyd George,9,130,9
Lloyd George,9,131,9
Lloyd George,9,132,9
Lloyd George,9,133,9
Lloyd George,9,134,9
Lloyd George,9,135,9
Lloyd George,9,136,9
Lloyd George,9,137,9
Lloyd George,9,138,9
Lloyd George,9,139,9
Lloyd George,9,140,9
Baldwin,0,1,0
Baldwin,0,2,0
Baldwin,0,3,0
Baldwin,0,4,0
Baldwin,0,5,0
Baldwin,1,6,0
Baldwin,1,7,1
Baldwin,1,8,1
Baldwin,1,9,1
Baldwin,1,10,1
Baldwin,1,11,1
Baldwin,1,12,1
Baldwin,1,13,1
Baldwin,1,14,1
Baldwin,1,15,1
Baldwin,1,16,1
Baldwin,1,17,1
Baldwin,1,18,1
Baldwin,1,19,1
Baldwin,1,20,1
Baldwin,1,21,1
Baldwin,1,22,1
Baldwin,1,23,1
Baldwin,1,24,1
Baldwin,1,25,1
Baldwin,1,26,1
Baldwin,1,27,1
Baldwin,1,28,1
Baldwin,1,29,1
Baldwin,1,30,1
Baldwin,1,31,1
Baldwin,1,32,1
Baldwin,1,33,1
Baldwin,1,34,1
Baldwin,1,35,1
