name,subGroup,value,year,tcolour
Callaghan,37 months in office,1,10,#ee3224
Cameron,75 months in office,1,10,#00539f
Churchill,104 months in office,1,10,#00539f
Macmillan,82 months in office,1,10,#00539f
Major,78 months in office,1,10,#00539f
May,34 months in office,1,10,#00539f
Blair,122 months in office,2,10,#ee3224
Chamberlain,36 months in office,2,10,#00539f
Lloyd George,71 months in office,2,10,#ffb703
Brown,35 months in office,3,10,#ee3224
Asquith,105 months in office,0,11,#ffb703
Balfour,41 months in office,0,11,#00539f
Eden,22 months in office,0,11,#00539f
Heath,45 months in office,0,11,#00539f
Macdonald,82 months in office,0,11,#ee3224
Thatcher,139 months in office,0,11,#00539f
Wilson,94 months in office,0,11,#ee3224
Attlee,76 months in office,1,11,#ee3224
Baldwin,87 months in office,1,11,#00539f
Callaghan,37 months in office,1,11,#ee3224
Cameron,75 months in office,1,11,#00539f
Churchill,104 months in office,1,11,#00539f
Macmillan,82 months in office,1,11,#00539f
Major,78 months in office,1,11,#00539f
Blair,122 months in office,2,11,#ee3224
Chamberlain,36 months in office,2,11,#00539f
Lloyd George,71 months in office,2,11,#ffb703
May,34 months in office,2,11,#00539f
Brown,35 months in office,3,11,#ee3224
Asquith,105 months in office,0,12,#ffb703
Balfour,41 months in office,0,12,#00539f
Eden,22 months in office,0,12,#00539f
Heath,45 months in office,0,12,#00539f
Macdonald,82 months in office,0,12,#ee3224
Thatcher,139 months in office,0,12,#00539f
Wilson,94 months in office,0,12,#ee3224
Attlee,76 months in office,1,12,#ee3224
Baldwin,87 months in office,1,12,#00539f
Callaghan,37 months in office,1,12,#ee3224
Cameron,75 months in office,1,12,#00539f
Churchill,104 months in office,1,12,#00539f
Major,78 months in office,1,12,#00539f
Blair,122 months in office,2,12,#ee3224
May,34 months in office,2,12,#00539f
Brown,35 months in office,3,12,#ee3224
Lloyd George,71 months in office,3,12,#ffb703
Chamberlain,36 months in office,4,12,#00539f
Macmillan,82 months in office,4,12,#00539f
Asquith,105 months in office,0,13,#ffb703
Balfour,41 months in office,0,13,#00539f
Eden,22 months in office,0,13,#00539f
Heath,45 months in office,0,13,#00539f
Macdonald,82 months in office,0,13,#ee3224
