name,subGroup,value,year,tcolour
Cameron,75 months in office,5,39,#00539f
Chamberlain,36 months in office,5,39,#00539f
Heath,45 months in office,5,39,#00539f
Macdonald,82 months in office,5,39,#ee3224
Macmillan,82 months in office,5,39,#00539f
Thatcher,139 months in office,6,39,#00539f
Balfour,41 months in office,7,39,#00539f
Lloyd George,71 months in office,7,39,#ffb703
Major,78 months in office,7,39,#00539f
Blair,122 months in office,11,39,#ee3224
Brown,35 months in office,13,39,#ee3224
May,34 months in office,30,39,#00539f
Asquith,105 months in office,0,40,#ffb703
Baldwin,87 months in office,1,40,#00539f
Churchill,104 months in office,1,40,#00539f
Attlee,76 months in office,2,40,#ee3224
Eden,22 months in office,2,40,#00539f
Callaghan,37 months in office,4,40,#ee3224
Cameron,75 months in office,5,40,#00539f
Chamberlain,36 months in office,5,40,#00539f
Heath,45 months in office,5,40,#00539f
Macdonald,82 months in office,5,40,#ee3224
Macmillan,82 months in office,5,40,#00539f
Wilson,94 months in office,5,40,#ee3224
Thatcher,139 months in office,6,40,#00539f
Balfour,41 months in office,7,40,#00539f
Lloyd George,71 months in office,7,40,#ffb703
Major,78 months in office,7,40,#00539f
Blair,122 months in office,11,40,#ee3224
Brown,35 months in office,13,40,#ee3224
May,34 months in office,30,40,#00539f
Asquith,105 months in office,0,41,#ffb703
Baldwin,87 months in office,1,41,#00539f
Churchill,104 months in office,1,41,#00539f
Eden,22 months in office,2,41,#00539f
Attlee,76 months in office,3,41,#ee3224
Callaghan,37 months in office,4,41,#ee3224
Cameron,75 months in office,5,41,#00539f
Chamberlain,36 months in office,5,41,#00539f
Heath,45 months in office,5,41,#00539f
Macdonald,82 months in office,5,41,#ee3224
Macmillan,82 months in office,5,41,#00539f
Thatcher,139 months in office,6,41,#00539f
Wilson,94 months in office,6,41,#ee3224
Balfour,41 months in office,7,41,#00539f
Lloyd George,71 months in office,7,41,#ffb703
Major,78 months in office,7,41,#00539f
Blair,122 months in office,11,41,#ee3224
Brown,35 months in office,13,41,#ee3224
May,34 months in office,30,41,#00539f
Asquith,105 months in office,0,42,#ffb703
Churchill,104 months in office,1,42,#00539f
Baldwin,87 months in office,2,42,#00539f
Eden,22 months in office,2,42,#00539f
Attlee,76 months in office,3,42,#ee3224
Callaghan,37 months in office,4,42,#ee3224
Cameron,75 months in office,5,42,#00539f
Chamberlain,36 months in office,5,42,#00539f
Heath,45 months in office,5,42,#00539f
Macdonald,82 months in office,5,42,#ee3224
Macmillan,82 months in office,5,42,#00539f
Thatcher,139 months in office,6,42,#00539f
Balfour,41 months in office,7,42,#00539f
Lloyd George,71 months in office,7,42,#ffb703
Wilson,94 months in office,7,42,#ee3224
Major,78 months in office,8,42,#00539f
Blair,122 months in office,11,42,#ee3224
Brown,35 months in office,13,42,#ee3224
May,34 months in office,30,42,#00539f
Asquith,105 months in office,0,43,#ffb703
Churchill,104 months in office,1,43,#00539f
Baldwin,87 months in office,2,43,#00539f
Eden,22 months in office,2,43,#00539f
Attlee,76 months in office,3,43,#ee3224
Callaghan,37 months in office,4,43,#ee3224
Cameron,75 months in office,5,43,#00539f
Chamberlain,36 months in office,5,43,#00539f
Heath,45 months in office,5,43,#00539f
Macdonald,82 months in office,5,43,#ee3224
Macmillan,82 months in office,5,43,#00539f
Thatcher,139 months in office,6,43,#00539f
Balfour,41 months in office,7,43,#00539f
Lloyd George,71 months in office,7,43,#ffb703
Wilson,94 months in office,7,43,#ee3224
Major,78 months in office,8,43,#00539f
Blair,122 months in office,11,43,#ee3224
Brown,35 months in office,13,43,#ee3224
May,34 months in office,30,43,#00539f
Asquith,105 months in office,0,44,#ffb703
Churchill,104 months in office,1,44,#00539f
Baldwin,87 months in office,2,44,#00539f
Eden,22 months in office,2,44,#00539f
Attlee,76 months in office,3,44,#ee3224
Callaghan,37 months in office,4,44,#ee3224
Cameron,75 months in office,5,44,#00539f
Chamberlain,36 months in office,5,44,#00539f
Heath,45 months in office,5,44,#00539f
Macdonald,82 months in office,5,44,#ee3224
Macmillan,82 months in office,5,44,#00539f
Thatcher,139 months in office,6,44,#00539f
Balfour,41 months in office,7,44,#00539f
Lloyd George,71 months in office,7,44,#ffb703
Wilson,94 months in office,7,44,#ee3224
Major,78 months in office,8,44,#00539f
Blair,122 months in office,11,44,#ee3224
Brown,35 months in office,13,44,#ee3224
May,34 months in office,30,44,#00539f
Asquith,105 months in office,0,45,#ffb703
Churchill,104 months in office,1,45,#00539f
Baldwin,87 months in office,2,45,#00539f
Eden,22 months in office,2,45,#00539f
Attlee,76 months in office,3,45,#ee3224
Callaghan,37 months in office,4,45,#ee3224
Chamberlain,36 months in office,5,45,#00539f
Heath,45 months in office,5,45,#00539f
Macdonald,82 months in office,5,45,#ee3224
Macmillan,82 months in office,5,45,#00539f
Cameron,75 months in office,6,45,#00539f
Balfour,41 months in office,7,45,#00539f
Lloyd George,71 months in office,7,45,#ffb703
Thatcher,139 months in office,7,45,#00539f
Wilson,94 months in office,7,45,#ee3224
Major,78 months in office,8,45,#00539f
Blair,122 months in office,12,45,#ee3224
Brown,35 months in office,13,45,#ee3224
May,34 months in office,30,45,#00539f
Asquith,105 months in office,0,46,#ffb703
Churchill,104 months in office,1,46,#00539f
Baldwin,87 months in office,2,46,#00539f
Eden,22 months in office,2,46,#00539f
Attlee,76 months in office,3,46,#ee3224
Callaghan,37 months in office,4,46,#ee3224
Chamberlain,36 months in office,5,46,#00539f
Heath,45 months in office,5,46,#00539f
Macdonald,82 months in office,5,46,#ee3224
Macmillan,82 months in office,5,46,#00539f
Cameron,75 months in office,6,46,#00539f
Balfour,41 months in office,7,46,#00539f
Lloyd George,71 months in office,7,46,#ffb703
Thatcher,139 months in office,7,46,#00539f
Wilson,94 months in office,7,46,#ee3224
Major,78 months in office,8,46,#00539f
Blair,122 months in office,12,46,#ee3224
Brown,35 months in office,13,46,#ee3224
May,34 months in office,30,46,#00539f
Asquith,105 months in office,0,47,#ffb703
Churchill,104 months in office,1,47,#00539f
Baldwin,87 months in office,2,47,#00539f
Eden,22 months in office,2,47,#00539f
Attlee,76 months in office,3,47,#ee3224
Callaghan,37 months in office,4,47,#ee3224
Chamberlain,36 months in office,5,47,#00539f
Heath,45 months in office,5,47,#00539f
Macdonald,82 months in office,5,47,#ee3224
Macmillan,82 months in office,5,47,#00539f
Balfour,41 months in office,7,47,#00539f
Cameron,75 months in office,7,47,#00539f
Lloyd George,71 months in office,7,47,#ffb703
Thatcher,139 months in office,7,47,#00539f
Wilson,94 months in office,7,47,#ee3224
Major,78 months in office,10,47,#00539f
Blair,122 months in office,12,47,#ee3224
Brown,35 months in office,13,47,#ee3224
May,34 months in office,30,47,#00539f
Asquith,105 months in office,0,48,#ffb703
Churchill,104 months in office,1,48,#00539f
Baldwin,87 months in office,2,48,#00539f
Eden,22 months in office,2,48,#00539f
Attlee,76 months in office,3,48,#ee3224
Callaghan,37 months in office,4,48,#ee3224
Chamberlain,36 months in office,5,48,#00539f
Heath,45 months in office,5,48,#00539f
Macdonald,82 months in office,5,48,#ee3224
Macmillan,82 months in office,5,48,#00539f
Balfour,41 months in office,7,48,#00539f
Cameron,75 months in office,7,48,#00539f
Lloyd George,71 months in office,7,48,#ffb703
Thatcher,139 months in office,7,48,#00539f
Wilson,94 months in office,7,48,#ee3224
Major,78 months in office,10,48,#00539f
Blair,122 months in office,12,48,#ee3224
Brown,35 months in office,13,48,#ee3224
May,34 months in office,30,48,#00539f
Asquith,105 months in office,0,49,#ffb703
Churchill,104 months in office,1,49,#00539f
Baldwin,87 months in office,2,49,#00539f
Eden,22 months in office,2,49,#00539f
Attlee,76 months in office,3,49,#ee3224
Callaghan,37 months in office,4,49,#ee3224
Chamberlain,36 months in office,5,49,#00539f
Heath,45 months in office,5,49,#00539f
Macdonald,82 months in office,5,49,#ee3224
Macmillan,82 months in office,5,49,#00539f
Balfour,41 months in office,7,49,#00539f
Cameron,75 months in office,7,49,#00539f
Lloyd George,71 months in office,7,49,#ffb703
Thatcher,139 months in office,7,49,#00539f
Wilson,94 months in office,7,49,#ee3224
Major,78 months in office,10,49,#00539f
Blair,122 months in office,12,49,#ee3224
Brown,35 months in office,13,49,#ee3224
May,34 months in office,30,49,#00539f
Asquith,105 months in office,0,50,#ffb703
Churchill,104 months in office,1,50,#00539f
Baldwin,87 months in office,2,50,#00539f
Eden,22 months in office,2,50,#00539f
Attlee,76 months in office,3,50,#ee3224
Callaghan,37 months in office,4,50,#ee3224
Chamberlain,36 months in office,5,50,#00539f
Heath,45 months in office,5,50,#00539f
Macmillan,82 months in office,5,50,#00539f
Balfour,41 months in office,7,50,#00539f
Cameron,75 months in office,7,50,#00539f
Lloyd George,71 months in office,7,50,#ffb703
Thatcher,139 months in office,7,50,#00539f
Wilson,94 months in office,7,50,#ee3224
Major,78 months in office,11,50,#00539f
Blair,122 months in office,12,50,#ee3224
Brown,35 months in office,13,50,#ee3224
Macdonald,82 months in office,16,50,#ee3224
May,34 months in office,30,50,#00539f
Asquith,105 months in office,0,51,#ffb703
Churchill,104 months in office,1,51,#00539f
Baldwin,87 months in office,2,51,#00539f
Eden,22 months in office,2,51,#00539f
Attlee,76 months in office,3,51,#ee3224
Callaghan,37 months in office,4,51,#ee3224
Chamberlain,36 months in office,5,51,#00539f
Heath,45 months in office,5,51,#00539f
Macmillan,82 months in office,5,51,#00539f
Balfour,41 months in office,7,51,#00539f
Lloyd George,71 months in office,7,51,#ffb703
Thatcher,139 months in office,7,51,#00539f
Wilson,94 months in office,7,51,#ee3224
Cameron,75 months in office,8,51,#00539f
Blair,122 months in office,12,51,#ee3224
Brown,35 months in office,13,51,#ee3224
Major,78 months in office,13,51,#00539f
Macdonald,82 months in office,16,51,#ee3224
May,34 months in office,30,51,#00539f
Asquith,105 months in office,0,52,#ffb703
Churchill,104 months in office,1,52,#00539f
Baldwin,87 months in office,2,52,#00539f
Eden,22 months in office,2,52,#00539f
Attlee,76 months in office,3,52,#ee3224
Callaghan,37 months in office,4,52,#ee3224
Chamberlain,36 months in office,5,52,#00539f
Heath,45 months in office,5,52,#00539f
Macmillan,82 months in office,5,52,#00539f
Balfour,41 months in office,7,52,#00539f
Lloyd George,71 months in office,7,52,#ffb703
Thatcher,139 months in office,7,52,#00539f
Wilson,94 months in office,7,52,#ee3224
Cameron,75 months in office,8,52,#00539f
Blair,122 months in office,12,52,#ee3224
Brown,35 months in office,13,52,#ee3224
Major,78 months in office,14,52,#00539f
Macdonald,82 months in office,16,52,#ee3224
May,34 months in office,30,52,#00539f
Asquith,105 months in office,0,53,#ffb703
Churchill,104 months in office,1,53,#00539f
Baldwin,87 months in office,2,53,#00539f
Eden,22 months in office,2,53,#00539f
Attlee,76 months in office,3,53,#ee3224
Callaghan,37 months in office,4,53,#ee3224
Chamberlain,36 months in office,5,53,#00539f
Heath,45 months in office,5,53,#00539f
Macmillan,82 months in office,5,53,#00539f
Balfour,41 months in office,7,53,#00539f
Lloyd George,71 months in office,7,53,#ffb703
Thatcher,139 months in office,7,53,#00539f
Wilson,94 months in office,7,53,#ee3224
Cameron,75 months in office,9,53,#00539f
Blair,122 months in office,12,53,#ee3224
Brown,35 months in office,13,53,#ee3224
Major,78 months in office,14,53,#00539f
Macdonald,82 months in office,16,53,#ee3224
May,34 months in office,30,53,#00539f
Asquith,105 months in office,0,54,#ffb703
Churchill,104 months in office,1,54,#00539f
Baldwin,87 months in office,2,54,#00539f
Eden,22 months in office,2,54,#00539f
Attlee,76 months in office,3,54,#ee3224
Callaghan,37 months in office,4,54,#ee3224
Chamberlain,36 months in office,5,54,#00539f
Heath,45 months in office,5,54,#00539f
Macmillan,82 months in office,5,54,#00539f
Balfour,41 months in office,7,54,#00539f
Lloyd George,71 months in office,7,54,#ffb703
Wilson,94 months in office,7,54,#ee3224
Thatcher,139 months in office,8,54,#00539f
Blair,122 months in office,12,54,#ee3224
Cameron,75 months in office,12,54,#00539f
Brown,35 months in office,13,54,#ee3224
Major,78 months in office,14,54,#00539f
Macdonald,82 months in office,16,54,#ee3224
May,34 months in office,30,54,#00539f
Asquith,105 months in office,0,55,#ffb703
Churchill,104 months in office,1,55,#00539f
Baldwin,87 months in office,2,55,#00539f
Eden,22 months in office,2,55,#00539f
Attlee,76 months in office,3,55,#ee3224
Callaghan,37 months in office,4,55,#ee3224
Chamberlain,36 months in office,5,55,#00539f
Heath,45 months in office,5,55,#00539f
Macmillan,82 months in office,5,55,#00539f
Balfour,41 months in office,7,55,#00539f
Lloyd George,71 months in office,7,55,#ffb703
Wilson,94 months in office,7,55,#ee3224
Thatcher,139 months in office,8,55,#00539f
Cameron,75 months in office,12,55,#00539f
Blair,122 months in office,13,55,#ee3224
Brown,35 months in office,13,55,#ee3224
Major,78 months in office,15,55,#00539f
Macdonald,82 months in office,16,55,#ee3224
May,34 months in office,30,55,#00539f
Asquith,105 months in office,0,56,#ffb703
Churchill,104 months in office,1,56,#00539f
Baldwin,87 months in office,2,56,#00539f
Eden,22 months in office,2,56,#00539f
Attlee,76 months in office,3,56,#ee3224
Callaghan,37 months in office,4,56,#ee3224
Chamberlain,36 months in office,5,56,#00539f
Heath,45 months in office,5,56,#00539f
Macmillan,82 months in office,5,56,#00539f
Balfour,41 months in office,7,56,#00539f
Wilson,94 months in office,7,56,#ee3224
Lloyd George,71 months in office,8,56,#ffb703
Thatcher,139 months in office,8,56,#00539f
Cameron,75 months in office,12,56,#00539f
Blair,122 months in office,13,56,#ee3224
Brown,35 months in office,13,56,#ee3224
Macdonald,82 months in office,16,56,#ee3224
Major,78 months in office,16,56,#00539f
May,34 months in office,30,56,#00539f
Asquith,105 months in office,0,57,#ffb703
Churchill,104 months in office,1,57,#00539f
Baldwin,87 months in office,2,57,#00539f
Eden,22 months in office,2,57,#00539f
Attlee,76 months in office,4,57,#ee3224
Callaghan,37 months in office,4,57,#ee3224
Chamberlain,36 months in office,5,57,#00539f
Heath,45 months in office,5,57,#00539f
Macmillan,82 months in office,5,57,#00539f
Balfour,41 months in office,7,57,#00539f
Wilson,94 months in office,7,57,#ee3224
Lloyd George,71 months in office,8,57,#ffb703
Thatcher,139 months in office,8,57,#00539f
Cameron,75 months in office,12,57,#00539f
Blair,122 months in office,13,57,#ee3224
Brown,35 months in office,13,57,#ee3224
Macdonald,82 months in office,16,57,#ee3224
Major,78 months in office,16,57,#00539f
May,34 months in office,30,57,#00539f
Asquith,105 months in office,0,58,#ffb703
Baldwin,87 months in office,2,58,#00539f
Churchill,104 months in office,2,58,#00539f
Eden,22 months in office,2,58,#00539f
Attlee,76 months in office,4,58,#ee3224
Callaghan,37 months in office,4,58,#ee3224
Chamberlain,36 months in office,5,58,#00539f
Heath,45 months in office,5,58,#00539f
Macmillan,82 months in office,5,58,#00539f
Balfour,41 months in office,7,58,#00539f
Wilson,94 months in office,7,58,#ee3224
Lloyd George,71 months in office,8,58,#ffb703
Thatcher,139 months in office,8,58,#00539f
Cameron,75 months in office,12,58,#00539f
Blair,122 months in office,13,58,#ee3224
Brown,35 months in office,13,58,#ee3224
Macdonald,82 months in office,16,58,#ee3224
Major,78 months in office,16,58,#00539f
May,34 months in office,30,58,#00539f
Asquith,105 months in office,0,59,#ffb703
Baldwin,87 months in office,2,59,#00539f
Churchill,104 months in office,2,59,#00539f
Eden,22 months in office,2,59,#00539f
Attlee,76 months in office,4,59,#ee3224
Callaghan,37 months in office,4,59,#ee3224
Chamberlain,36 months in office,5,59,#00539f
Heath,45 months in office,5,59,#00539f
Macmillan,82 months in office,5,59,#00539f
Balfour,41 months in office,7,59,#00539f
Wilson,94 months in office,7,59,#ee3224
Lloyd George,71 months in office,8,59,#ffb703
Thatcher,139 months in office,8,59,#00539f
Cameron,75 months in office,12,59,#00539f
Blair,122 months in office,13,59,#ee3224
Brown,35 months in office,13,59,#ee3224
Macdonald,82 months in office,16,59,#ee3224
Major,78 months in office,17,59,#00539f
May,34 months in office,30,59,#00539f
Asquith,105 months in office,0,60,#ffb703
Baldwin,87 months in office,2,60,#00539f
Churchill,104 months in office,2,60,#00539f
Eden,22 months in office,2,60,#00539f
Attlee,76 months in office,4,60,#ee3224
Callaghan,37 months in office,4,60,#ee3224
Chamberlain,36 months in office,5,60,#00539f
Heath,45 months in office,5,60,#00539f
Macmillan,82 months in office,5,60,#00539f
Balfour,41 months in office,7,60,#00539f
Lloyd George,71 months in office,8,60,#ffb703
Wilson,94 months in office,8,60,#ee3224
Thatcher,139 months in office,9,60,#00539f
Cameron,75 months in office,12,60,#00539f
Blair,122 months in office,13,60,#ee3224
Brown,35 months in office,13,60,#ee3224
Macdonald,82 months in office,16,60,#ee3224
Major,78 months in office,17,60,#00539f
May,34 months in office,30,60,#00539f
Asquith,105 months in office,0,61,#ffb703
Baldwin,87 months in office,2,61,#00539f
Churchill,104 months in office,2,61,#00539f
Eden,22 months in office,2,61,#00539f
Attlee,76 months in office,4,61,#ee3224
Callaghan,37 months in office,4,61,#ee3224
Chamberlain,36 months in office,5,61,#00539f
Heath,45 months in office,5,61,#00539f
Macmillan,82 months in office,5,61,#00539f
Balfour,41 months in office,7,61,#00539f
Lloyd George,71 months in office,8,61,#ffb703
Wilson,94 months in office,8,61,#ee3224
Thatcher,139 months in office,9,61,#00539f
Cameron,75 months in office,12,61,#00539f
Brown,35 months in office,13,61,#ee3224
Blair,122 months in office,14,61,#ee3224
Macdonald,82 months in office,16,61,#ee3224
Major,78 months in office,17,61,#00539f
May,34 months in office,30,61,#00539f
Asquith,105 months in office,0,62,#ffb703
Churchill,104 months in office,2,62,#00539f
Eden,22 months in office,2,62,#00539f
Baldwin,87 months in office,3,62,#00539f
Attlee,76 months in office,4,62,#ee3224
Callaghan,37 months in office,4,62,#ee3224
Chamberlain,36 months in office,5,62,#00539f
Heath,45 months in office,5,62,#00539f
Macmillan,82 months in office,5,62,#00539f
Balfour,41 months in office,7,62,#00539f
Lloyd George,71 months in office,8,62,#ffb703
Wilson,94 months in office,8,62,#ee3224
Thatcher,139 months in office,9,62,#00539f
Cameron,75 months in office,12,62,#00539f
Brown,35 months in office,13,62,#ee3224
Blair,122 months in office,14,62,#ee3224
Macdonald,82 months in office,16,62,#ee3224
Major,78 months in office,17,62,#00539f
May,34 months in office,30,62,#00539f
Asquith,105 months in office,0,63,#ffb703
Eden,22 months in office,2,63,#00539f
Baldwin,87 months in office,3,63,#00539f
Churchill,104 months in office,3,63,#00539f
Attlee,76 months in office,4,63,#ee3224
Callaghan,37 months in office,4,63,#ee3224
Chamberlain,36 months in office,5,63,#00539f
Heath,45 months in office,5,63,#00539f
Macmillan,82 months in office,5,63,#00539f
Balfour,41 months in office,7,63,#00539f
Lloyd George,71 months in office,8,63,#ffb703
Wilson,94 months in office,8,63,#ee3224
Thatcher,139 months in office,9,63,#00539f
Cameron,75 months in office,12,63,#00539f
Brown,35 months in office,13,63,#ee3224
Blair,122 months in office,14,63,#ee3224
Macdonald,82 months in office,16,63,#ee3224
Major,78 months in office,17,63,#00539f
May,34 months in office,30,63,#00539f
Asquith,105 months in office,0,64,#ffb703
Eden,22 months in office,2,64,#00539f
Baldwin,87 months in office,3,64,#00539f
Churchill,104 months in office,3,64,#00539f
Attlee,76 months in office,4,64,#ee3224
Callaghan,37 months in office,4,64,#ee3224
Chamberlain,36 months in office,5,64,#00539f
Heath,45 months in office,5,64,#00539f
Macmillan,82 months in office,5,64,#00539f
Balfour,41 months in office,7,64,#00539f
Wilson,94 months in office,8,64,#ee3224
Lloyd George,71 months in office,9,64,#ffb703
Thatcher,139 months in office,9,64,#00539f
Cameron,75 months in office,12,64,#00539f
Brown,35 months in office,13,64,#ee3224
Blair,122 months in office,14,64,#ee3224
Macdonald,82 months in office,16,64,#ee3224
Major,78 months in office,17,64,#00539f
May,34 months in office,30,64,#00539f
Asquith,105 months in office,0,65,#ffb703
Eden,22 months in office,2,65,#00539f
Baldwin,87 months in office,3,65,#00539f
Churchill,104 months in office,3,65,#00539f
Attlee,76 months in office,4,65,#ee3224
Callaghan,37 months in office,4,65,#ee3224
Chamberlain,36 months in office,5,65,#00539f
Heath,45 months in office,5,65,#00539f
Macmillan,82 months in office,5,65,#00539f
Balfour,41 months in office,7,65,#00539f
Wilson,94 months in office,8,65,#ee3224
Lloyd George,71 months in office,9,65,#ffb703
Thatcher,139 months in office,11,65,#00539f
Cameron,75 months in office,12,65,#00539f
Brown,35 months in office,13,65,#ee3224
Blair,122 months in office,14,65,#ee3224
Macdonald,82 months in office,16,65,#ee3224
Major,78 months in office,17,65,#00539f
May,34 months in office,30,65,#00539f
Asquith,105 months in office,0,66,#ffb703
Eden,22 months in office,2,66,#00539f
Baldwin,87 months in office,3,66,#00539f
Churchill,104 months in office,3,66,#00539f
Attlee,76 months in office,4,66,#ee3224
Callaghan,37 months in office,4,66,#ee3224
Chamberlain,36 months in office,5,66,#00539f
Heath,45 months in office,5,66,#00539f
Macmillan,82 months in office,5,66,#00539f
Balfour,41 months in office,7,66,#00539f
Wilson,94 months in office,8,66,#ee3224
Lloyd George,71 months in office,9,66,#ffb703
Thatcher,139 months in office,11,66,#00539f
Cameron,75 months in office,12,66,#00539f
Brown,35 months in office,13,66,#ee3224
Blair,122 months in office,15,66,#ee3224
Macdonald,82 months in office,16,66,#ee3224
Major,78 months in office,17,66,#00539f
May,34 months in office,30,66,#00539f
Asquith,105 months in office,0,67,#ffb703
Eden,22 months in office,2,67,#00539f
Churchill,104 months in office,3,67,#00539f
Attlee,76 months in office,4,67,#ee3224
Baldwin,87 months in office,4,67,#00539f
Callaghan,37 months in office,4,67,#ee3224
Chamberlain,36 months in office,5,67,#00539f
Heath,45 months in office,5,67,#00539f
Macmillan,82 months in office,5,67,#00539f
Balfour,41 months in office,7,67,#00539f
Wilson,94 months in office,8,67,#ee3224
Lloyd George,71 months in office,9,67,#ffb703
Thatcher,139 months in office,11,67,#00539f
Brown,35 months in office,13,67,#ee3224
Cameron,75 months in office,13,67,#00539f
Blair,122 months in office,15,67,#ee3224
Macdonald,82 months in office,16,67,#ee3224
Major,78 months in office,18,67,#00539f
May,34 months in office,30,67,#00539f
Asquith,105 months in office,0,68,#ffb703
Eden,22 months in office,2,68,#00539f
Churchill,104 months in office,3,68,#00539f
Attlee,76 months in office,4,68,#ee3224
Baldwin,87 months in office,4,68,#00539f
Callaghan,37 months in office,4,68,#ee3224
Chamberlain,36 months in office,5,68,#00539f
Heath,45 months in office,5,68,#00539f
Macmillan,82 months in office,5,68,#00539f
Balfour,41 months in office,7,68,#00539f
Wilson,94 months in office,8,68,#ee3224
Lloyd George,71 months in office,9,68,#ffb703
Thatcher,139 months in office,11,68,#00539f
Brown,35 months in office,13,68,#ee3224
Cameron,75 months in office,13,68,#00539f
Blair,122 months in office,15,68,#ee3224
Macdonald,82 months in office,16,68,#ee3224
Major,78 months in office,21,68,#00539f
May,34 months in office,30,68,#00539f
Asquith,105 months in office,0,69,#ffb703
Eden,22 months in office,2,69,#00539f
Churchill,104 months in office,3,69,#00539f
Baldwin,87 months in office,4,69,#00539f
Callaghan,37 months in office,4,69,#ee3224
Chamberlain,36 months in office,5,69,#00539f
Heath,45 months in office,5,69,#00539f
Macmillan,82 months in office,5,69,#00539f
Attlee,76 months in office,7,69,#ee3224
Balfour,41 months in office,7,69,#00539f
Wilson,94 months in office,8,69,#ee3224
Lloyd George,71 months in office,9,69,#ffb703
Thatcher,139 months in office,11,69,#00539f
Brown,35 months in office,13,69,#ee3224
Cameron,75 months in office,13,69,#00539f
Blair,122 months in office,15,69,#ee3224
Macdonald,82 months in office,16,69,#ee3224
Major,78 months in office,21,69,#00539f
May,34 months in office,30,69,#00539f
Asquith,105 months in office,0,70,#ffb703
Eden,22 months in office,2,70,#00539f
Churchill,104 months in office,3,70,#00539f
Baldwin,87 months in office,4,70,#00539f
Callaghan,37 months in office,4,70,#ee3224
Chamberlain,36 months in office,5,70,#00539f
Heath,45 months in office,5,70,#00539f
Macmillan,82 months in office,6,70,#00539f
Attlee,76 months in office,7,70,#ee3224
Balfour,41 months in office,7,70,#00539f
Wilson,94 months in office,8,70,#ee3224
Lloyd George,71 months in office,9,70,#ffb703
Thatcher,139 months in office,11,70,#00539f
Brown,35 months in office,13,70,#ee3224
Cameron,75 months in office,13,70,#00539f
Blair,122 months in office,15,70,#ee3224
Macdonald,82 months in office,16,70,#ee3224
Major,78 months in office,21,70,#00539f
May,34 months in office,30,70,#00539f
Asquith,105 months in office,0,71,#ffb703
Eden,22 months in office,2,71,#00539f
Churchill,104 months in office,3,71,#00539f
Baldwin,87 months in office,4,71,#00539f
Callaghan,37 months in office,4,71,#ee3224
Chamberlain,36 months in office,5,71,#00539f
Heath,45 months in office,5,71,#00539f
Macmillan,82 months in office,6,71,#00539f
Attlee,76 months in office,7,71,#ee3224
Balfour,41 months in office,7,71,#00539f
Wilson,94 months in office,8,71,#ee3224
Lloyd George,71 months in office,9,71,#ffb703
Thatcher,139 months in office,12,71,#00539f
Brown,35 months in office,13,71,#ee3224
Cameron,75 months in office,14,71,#00539f
Macdonald,82 months in office,16,71,#ee3224
Blair,122 months in office,18,71,#ee3224
Major,78 months in office,21,71,#00539f
May,34 months in office,30,71,#00539f
Asquith,105 months in office,1,72,#ffb703
Eden,22 months in office,2,72,#00539f
Churchill,104 months in office,3,72,#00539f
Baldwin,87 months in office,4,72,#00539f
Callaghan,37 months in office,4,72,#ee3224
Chamberlain,36 months in office,5,72,#00539f
Heath,45 months in office,5,72,#00539f
Macmillan,82 months in office,6,72,#00539f
Attlee,76 months in office,7,72,#ee3224
Balfour,41 months in office,7,72,#00539f
Wilson,94 months in office,8,72,#ee3224
Lloyd George,71 months in office,9,72,#ffb703
Thatcher,139 months in office,12,72,#00539f
Brown,35 months in office,13,72,#ee3224
Cameron,75 months in office,14,72,#00539f
Macdonald,82 months in office,16,72,#ee3224
Blair,122 months in office,18,72,#ee3224
Major,78 months in office,21,72,#00539f
May,34 months in office,30,72,#00539f
Asquith,105 months in office,1,73,#ffb703
Eden,22 months in office,2,73,#00539f
Churchill,104 months in office,3,73,#00539f
Baldwin,87 months in office,4,73,#00539f
Callaghan,37 months in office,4,73,#ee3224
Chamberlain,36 months in office,5,73,#00539f
Heath,45 months in office,5,73,#00539f
Macmillan,82 months in office,6,73,#00539f
Attlee,76 months in office,7,73,#ee3224
Balfour,41 months in office,7,73,#00539f
Wilson,94 months in office,8,73,#ee3224
Lloyd George,71 months in office,9,73,#ffb703
Thatcher,139 months in office,12,73,#00539f
Brown,35 months in office,13,73,#ee3224
Cameron,75 months in office,14,73,#00539f
Macdonald,82 months in office,16,73,#ee3224
Blair,122 months in office,19,73,#ee3224
Major,78 months in office,22,73,#00539f
May,34 months in office,30,73,#00539f
Asquith,105 months in office,1,74,#ffb703
Eden,22 months in office,2,74,#00539f
Churchill,104 months in office,3,74,#00539f
Baldwin,87 months in office,4,74,#00539f
Callaghan,37 months in office,4,74,#ee3224
Chamberlain,36 months in office,5,74,#00539f
Heath,45 months in office,5,74,#00539f
Macmillan,82 months in office,6,74,#00539f
Attlee,76 months in office,7,74,#ee3224
Balfour,41 months in office,7,74,#00539f
Wilson,94 months in office,8,74,#ee3224
Lloyd George,71 months in office,9,74,#ffb703
Thatcher,139 months in office,12,74,#00539f
Brown,35 months in office,13,74,#ee3224
Cameron,75 months in office,14,74,#00539f
Macdonald,82 months in office,16,74,#ee3224
Blair,122 months in office,19,74,#ee3224
Major,78 months in office,22,74,#00539f
May,34 months in office,30,74,#00539f
Asquith,105 months in office,1,75,#ffb703
Eden,22 months in office,2,75,#00539f
Churchill,104 months in office,3,75,#00539f
Baldwin,87 months in office,4,75,#00539f
Callaghan,37 months in office,4,75,#ee3224
Chamberlain,36 months in office,5,75,#00539f
Heath,45 months in office,5,75,#00539f
